ticker,bse_scrip,name,ISIN_NUMBER,mktcap_cr,sector
RELIANCE,500325,Reliance Industries Ltd,INE002A01018,1732300,Energy
BHARTIARTL,532454,Bharti Airtel  Ltd.,INE397D01024,1188603,Communication Services
HDFCBANK,500180,HDFC Bank Ltd.,INE040A01034,1139287,Financial Services
ICICIBANK,532174,ICICI Bank Ltd.,INE090A01021,1036863,Financial Services
SBIN,500112,State Bank Of India,INE062A01020,942261,Financial Services
TCS,532540,Tata Consultancy Services Ltd.,INE467B01029,830405,Technology
BAJFINANCE,500034,Bajaj Finance Limited,INE296A01032,652511,Financial Services
LT,500510,Larsen & Toubro Limited,INE018A01030,523369,Industrials
HINDUNILVR,500696,Hindustan Unilever Ltd.,INE030A01027,510977,Consumer Defensive
SUNPHARMA,524715,Sun Pharmaceutical Industries Ltd.,INE044A01036,473498,Healthcare
INFY,500209,Infosys Ltd,INE009A01021,437833,Technology
MARUTI,532500,Maruti Suzuki India  Ltd.,INE585B01010,431282,Consumer Cyclical
TITAN,500114,Titan Company Limited,INE280A01028,420744,Consumer Cyclical
ADANIPOWER,533096,Adani Power Limited,INE814H01029,412596,Utilities
ADANIENT,512599,Adani Enterprises Ltd.,INE423A01024,410964,Energy
ADANIPORTS,532921,Adani Ports and Special Economic Zone Ltd,INE742F01042,408054,Industrials
M&M,500520,Mahindra & Mahindra Ltd.,INE101A01026,402823,Consumer Cyclical
KOTAKBANK,500247,Kotak Mahindra Bank Ltd.,INE237A01036,382924,Financial Services
AXISBANK,532215,AXIS Bank Ltd.,INE238A01034,381885,Financial Services
ITC,500875,ITC Ltd,INE154A01025,358218,Consumer Defensive
HCLTECH,532281,HCL Technologies Ltd,INE860A01027,351650,Technology
ULTRACEMCO,532538,UltraTech Cement Ltd,INE481G01011,350332,Basic Materials
NTPC,532555,NTPC Limited,INE733E01010,340014,Utilities
BAJAJ-AUTO,532977,Bajaj Auto Limited,INE917I01010,312567,Consumer Cyclical
HAL,541154,Hindustan Aeronautics Limited,INE066F01020,308777,Industrials
BAJAJFINSV,532978,Bajaj Finserv Limited,INE918I01026,306489,Financial Services
JSWSTEEL,500228,JSW Steel Limited,INE019A01038,304117,Basic Materials
ONGC,500312,Oil And Natural Gas Corporation Ltd,INE213A01029,300165,Energy
BEL,500049,Bharat Electronics Ltd.,INE263A01024,297581,Industrials
ETERNAL,543320,Eternal Limited,INE758T01015,285409,Consumer Cyclical
NESTLEIND,500790,Nestle India Ltd.,INE239A01024,278825,Consumer Defensive
POWERGRID,532898,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,268694,Utilities
COALINDIA,533278,Coal India Limited,INE522F01014,263457,Energy
DMART,540376,Avenue Supermarts Limited,INE192R01011,262284,Consumer Defensive
ASIANPAINT,500820,Asian Paints Ltd.,INE021A01026,259957,Basic Materials
SHRIRAMFIN,511218,Shriram Finance Limited,INE721A01047,244224,Financial Services
ADANIGREEN,541450,Adani Green Energy Limited,INE364U01010,230596,Utilities
TATASTEEL,500470,TATA STEEL LIMITED,INE081A01020,229945,Basic Materials
HINDZINC,500188,Hindustan Zinc Ltd.,INE267A01025,223477,Basic Materials
EICHERMOT,505200,Eicher Motors Ltd.,INE066A01021,213289,Consumer Cyclical
HINDALCO,500440,Hindalco Industries Ltd.,INE038A01020,212363,Basic Materials
GRASIM,500300,Grasim Industries Ltd,INE047A01021,211805,Basic Materials
ADANIENSOL,539254,Adani Energy Solutions Limited,INE931S01010,204590,Utilities
INDIGO,539448,InterGlobe Aviation Limited,INE646L01027,202269,Industrials
IOC,530965,Indian Oil Corporation Ltd.,INE242A01010,199604,Energy
DIVISLAB,532488,Divi's Laboratories Ltd.,INE361B01024,196881,Healthcare
SBILIFE,540719,SBI Life Insurance Company Limited,INE123W01016,187259,Financial Services
TVSMOTOR,532343,TVS Motor Company Ltd.,INE494B01023,184125,Consumer Cyclical
WIPRO,507685,Wipro  Ltd.,INE075A01022,176789,Technology
TORNTPHARM,500420,Torrent Pharmaceuticals Ltd.,INE685A01028,169793,Healthcare
SOLARINDS,532725,Solar Industries India Limited,INE343H01029,168526,Basic Materials
PIDILITIND,500331,Pidilite Industries Ltd.,INE318A01026,163981,Basic Materials
DLF,532868,DLF LIMITED,INE271C01023,160970,Real Estate
MOTHERSON,517334,Samvardhana Motherson International Limited,INE775A01035,157256,Consumer Cyclical
VBL,540180,Varun Beverages Limited,INE200M01039,157099,Consumer Defensive
TRENT,500251,Trent Ltd [Lakme Ltd],INE849A01020,156709,Consumer Cyclical
CUMMINSIND,500480,Cummins India Ltd.,INE298A01020,156010,Industrials
ABB,500002,ABB India Limited,INE117A01022,155257,Industrials
TECHM,532755,Tech Mahindra Limited,INE669C01036,154305,Technology
CHOLAFIN,511243,Cholamandalam Investment and Finance Company Ltd,INE121A01024,152182,Financial Services
BHEL,500103,Bharat Heavy Electricals Ltd.,INE257A01026,144749,Industrials
IDEA,532822,VODAFONE IDEA  LIMITED,INE669E01016,141604,Communication Services
POWERINDIA,543187,HITACHI ENERGY INDIA LIMITED,INE07Y701011,140597,Industrials
PFC,532810,Power Finance Corporation Ltd,INE134E01011,138621,Financial Services
CGPOWER,500093,CG Power and Industrial Solutions Limited,INE067A01029,138149,Industrials
BPCL,500547,Bharat Petroleum Corpn. Ltd.,INE029A01011,137313,Energy
POLYCAB,542652,Polycab India Limited,INE455K01017,135722,Industrials
SIEMENS,500550,Siemens Ltd.,INE003A01024,132596,Industrials
UNIONBANK,532477,Union Bank of India,INE692A01016,129924,Financial Services
BRITANNIA,500825,Britannia Industries Ltd.,INE216A01030,129637,Consumer Defensive
PNB,532461,Punjab National Bank,INE160A01022,128261,Financial Services
APOLLOHOSP,508869,Apollo Hospitals Enterprises Ltd.,INE437A01024,127149,Healthcare
BANKBARODA,532134,Bank Of Baroda,INE028A01039,126130,Financial Services
LTM,540005,LTM LIMITED,INE214T01019,124289,Technology
BOSCHLTD,500530,Bosch Ltd,INE323A01026,121852,Consumer Cyclical
MUTHOOTFIN,533398,MUTHOOT FINANCE LIMITED,INE414G01012,121520,Financial Services
TMPV,500570,TATA MOTORS PASSENGER VEHICLES LIMITED,INE155A01022,120697,Consumer Cyclical
TATAPOWER,500400,Tata Power Co. Ltd,INE245A01021,120544,Utilities
BAJAJHLDNG,500490,Bajaj Holdings & Investment Limited,INE118A01012,120268,Financial Services
HDFCLIFE,540777,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,120062,Financial Services
LODHA,543287,Lodha Developers Limited,INE670K01029,119869,Real Estate
CANBK,532483,Canara Bank,INE476A01022,115469,Financial Services
IRFC,543257,Indian Railway Finance Corporation,INE053F01010,115147,Financial Services
GAIL,532155,Gail (India) Ltd.,INE129A01019,114505,Utilities
GMRAIRPORT,532754,GMR Airports Limited,INE776C01039,114037,Industrials
CIPLA,500087,Cipla Ltd.,INE059A01026,113894,Healthcare
INDIANB,532814,Indian Bank,INE562A01011,111912,Financial Services
MARICO,531642,Marico Limited,INE196A01026,111460,Consumer Defensive
ZYDUSLIFE,532321,Zydus Lifesciences Limited,INE010B01027,110523,Healthcare
LUPIN,500257,Lupin Ltd,INE326A01037,110189,Healthcare
GODREJCP,532424,Godrej Consumer Products Ltd.,INE102D01028,109867,Consumer Defensive
TATACONSUM,500800,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,109594,Consumer Defensive
ABCAPITAL,540691,Aditya Birla Capital Ltd,INE674K01013,109567,Financial Services
HDFCAMC,541729,HDFC Asset Management Company Limited,INE127D01025,109386,Financial Services
JINDALSTEL,532286,JINDAL STEEL LIMITED,INE749A01030,108695,Basic Materials
MAXHEALTH,543220,Max Healthcare Institute Limited,INE027H01010,108476,Healthcare
UNITDSPR,532432,United Spirits Limited,INE854D01024,107797,Consumer Defensive
GVT&D,522275,GE Vernova T&D India Limited,INE200A01026,107563,Industrials
AMBUJACEM,500425,Ambuja Cements Ltd.,INE079A01024,107009,Basic Materials
INDHOTEL,500850,THE INDIAN HOTELS COMPANY LTD,INE053A01029,104345,Consumer Cyclical
