ticker,first_annual_filing,last_annual_filing,n_annual_filings
034220,2010-03-18,2025-03-12,17
011070,2010-03-29,2025-03-18,20
006650,2010-03-30,2025-03-06,19
000990,2010-03-30,2025-03-13,21
030200,2010-03-30,2025-03-21,17
047050,2010-03-30,2025-03-14,20
003670,2010-03-30,2025-03-14,22
078930,2010-03-30,2025-03-18,18
066970,2010-03-30,2025-03-11,21
035720,2010-03-30,2025-03-24,21
068270,2010-03-30,2025-03-17,24
005690,2010-03-30,2025-08-13,20
005490,2010-03-30,2025-03-12,23
003550,2010-03-31,2025-03-18,17
002790,2010-03-31,2025-03-17,20
024110,2010-03-31,2025-03-18,20
010130,2010-03-31,2025-03-31,21
011780,2010-03-31,2025-03-17,25
010060,2010-03-31,2025-03-18,22
004170,2010-03-31,2025-03-12,17
086280,2010-03-31,2025-03-18,20
021240,2010-03-31,2025-03-21,22
035250,2010-03-31,2025-03-18,18
032640,2010-03-31,2025-03-17,17
042660,2010-03-31,2025-03-14,24
097950,2010-03-31,2025-03-21,23
047040,2010-03-31,2025-08-13,25
011790,2010-03-31,2025-03-18,21
034230,2010-03-31,2025-04-15,22
000100,2010-03-31,2025-03-12,16
001040,2010-03-31,2025-03-25,19
000150,2010-03-31,2025-08-14,23
004370,2010-03-31,2025-03-12,21
017800,2010-03-31,2025-03-18,19
006260,2010-03-31,2025-08-14,23
000120,2010-03-31,2025-03-17,19
000880,2010-03-31,2025-12-18,26
002380,2010-03-31,2025-03-13,19
093370,2010-03-31,2025-03-17,21
023530,2010-03-31,2025-03-14,23
018880,2010-03-31,2025-03-21,19
090460,2010-03-31,2025-03-26,22
028670,2010-03-31,2025-03-18,21
009420,2010-03-31,2025-03-18,20
008930,2010-03-31,2025-03-18,18
069960,2010-03-31,2025-03-18,18
079160,2010-03-31,2025-03-21,20
011210,2010-03-31,2025-03-13,19
036460,2010-03-31,2025-03-25,23
005070,2010-03-31,2025-03-14,23
000210,2010-03-31,2025-03-17,25
005930,2010-03-31,2025-03-11,16
006360,2010-03-31,2025-08-13,21
012330,2010-03-31,2025-03-11,20
034020,2010-03-31,2025-03-20,19
034730,2010-03-31,2025-03-18,19
011170,2010-03-31,2025-07-25,23
047810,2010-03-31,2025-03-18,23
017670,2010-03-31,2025-03-17,21
009830,2010-03-31,2025-03-17,24
008770,2010-03-31,2025-05-15,20
105560,2010-03-31,2025-05-26,27
004020,2010-03-31,2025-03-17,17
010140,2010-03-31,2025-03-19,21
086790,2010-03-31,2025-03-17,20
009540,2010-03-31,2025-03-18,20
015760,2010-03-31,2025-03-18,23
051900,2010-03-31,2025-03-17,18
055550,2010-03-31,2025-03-18,23
090430,2010-03-31,2025-03-17,19
036570,2010-03-31,2025-03-28,23
000720,2010-03-31,2025-10-17,22
096770,2010-03-31,2025-03-18,17
033780,2010-03-31,2025-03-18,24
000660,2010-03-31,2025-03-19,23
064350,2010-03-31,2025-03-21,18
035420,2010-03-31,2025-03-18,19
018260,2010-03-31,2025-03-11,19
012450,2010-03-31,2025-03-17,21
006400,2010-03-31,2025-03-11,19
000270,2010-03-31,2025-03-13,21
011200,2010-03-31,2025-03-18,22
003490,2010-03-31,2025-03-18,21
051910,2010-03-31,2025-07-31,20
005380,2010-03-31,2025-03-12,18
009150,2010-03-31,2025-03-11,18
066570,2010-03-31,2025-03-17,16
010950,2010-03-31,2025-03-19,16
028050,2010-03-31,2025-08-14,22
006800,2010-06-25,2025-08-14,21
005940,2010-06-25,2025-03-13,18
016360,2010-06-28,2025-03-06,17
005830,2010-06-29,2025-08-14,23
071050,2010-06-29,2025-03-20,16
032830,2010-06-29,2025-03-31,20
000810,2010-06-29,2025-03-28,18
001450,2010-06-29,2025-04-07,20
128940,2011-03-31,2025-03-18,15
020150,2011-03-31,2025-03-14,20
139480,2012-03-30,2025-03-18,17
161390,2013-04-01,2025-03-18,15
161890,2013-06-28,2025-03-18,16
028260,2014-03-25,2025-08-14,18
180640,2014-03-31,2025-08-14,19
192820,2015-03-31,2025-04-16,14
204320,2015-03-31,2025-03-26,17
079550,2016-03-29,2025-03-21,14
241560,2017-03-31,2025-03-18,12
207940,2017-03-31,2025-08-14,11
267260,2018-04-02,2025-03-20,10
267250,2018-04-02,2025-03-19,10
267270,2018-04-02,2025-03-27,11
271560,2018-04-02,2025-08-08,11
251270,2018-04-02,2025-03-21,11
298040,2019-03-25,2025-08-14,11
307950,2019-04-01,2025-03-17,9
272210,2020-03-27,2025-03-14,12
336260,2020-03-30,2025-03-18,6
336370,2020-03-30,2025-11-21,8
316140,2020-03-30,2025-03-18,7
