ticker,corp_code,name,induty_code,sector,liq_rank
005930,00126380,"SAMSUNG ELECTRONICS CO,.LTD",264,KSIC-26,1
000660,00164779,SK hynix Inc.,2612,KSIC-26,2
035420,00266961,NAVER Corporation,63120,KSIC-63,3
068270,00413046,"Celltrion, Inc.",21100,KSIC-21,4
006400,00126362,"SAMSUNG SDI CO.,LTD",28202,KSIC-28,5
051910,00356361,LG CHEM LTD,20111,KSIC-20,6
005380,00164742,HYUNDAI MOTOR CO,30121,KSIC-30,7
035720,00258801,Kakao Corp.,63120,KSIC-63,8
005490,00155319,POSCO Holdings Inc.,2411,KSIC-24,9
207940,00877059,"SAMSUNG BIOLOGICS CO.,LTD.",211,KSIC-21,10
009150,00126371,"SAMSUNG ELECTRO-MECHANICS CO.,LTD",2622,KSIC-26,11
066570,00401731,LG ELECTRONICS INC.,264,KSIC-26,12
000270,00106641,KIA CORPORATION,30121,KSIC-30,13
096770,00631518,"SK Innovation Co., Ltd.",192,KSIC-19,14
012330,00164788,"HYUNDAI MOBIS CO.,LTD",303,KSIC-30,15
105560,00688996,KB Financial Group Inc.,64992,KSIC-64,16
015760,00159193,KOREA ELECTRIC POWER CORPORATION,35120,KSIC-35,17
090430,00583424,AMOREPACIFIC CORP.,20423,KSIC-20,18
036570,00261443,NC Corporation,582,KSIC-58,19
028260,00149655,SAMSUNG C&T CORPORATION,467,KSIC-46,20
055550,00382199,"SHINHAN FINANCIAL GROUP CO.,LTD",64992,KSIC-64,21
051900,00356370,"LG H&H Co., Ltd.",20422,KSIC-20,22
003670,00155276,"POSCO FUTURE M CO., LTD.",282,KSIC-28,23
034220,00105873,"LG Display Co., Ltd.",2621,KSIC-26,24
009540,00164830,"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",64992,KSIC-64,25
086790,00547583,Hana Financial Group Inc.,64992,KSIC-64,26
010140,00126478,"SAMSUNG HEAVY INDUSTRIES CO.,LTD",3111,KSIC-31,27
008770,00165680,"HOTEL SHILLA CO.,LTD",47859,KSIC-47,28
011070,00105961,"LG INNOTEK CO., LTD.",262,KSIC-26,29
009830,00162461,HANWHA SOLUTIONS CORPORATION,20111,KSIC-20,30
017670,00159023,"SK TELECOM CO.,LTD",61220,KSIC-61,31
047810,00309503,"KOREA AEROSPACE INDUSTRIES, LTD.",31311,KSIC-31,32
011170,00165413,LOTTE CHEMICAL CORPORATION,20111,KSIC-20,33
034730,00181712,SK Inc.,64992,KSIC-64,34
034020,00159616,"DOOSAN ENERBILITY CO., LTD.",29119,KSIC-29,35
000720,00164478,"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD",41221,KSIC-41,36
033780,00244455,KT&G Corporation,12000,KSIC-12,37
010950,00138279,S-Oil Corporation,19210,KSIC-19,38
316140,01350869,Woori Financial Group Inc.,64992,KSIC-64,39
251270,00904672,Netmarble Corporation,5821,KSIC-58,40
028050,00126308,"SAMSUNG E&A CO.,LTD",72129,KSIC-72,41
011200,00164645,"HMM CO.,LTD",50112,KSIC-50,42
003490,00113526,"KOREAN AIR LINES CO.,LTD",511,KSIC-51,43
012450,00126566,"HANWHA AEROSPACE CO., LTD.",31321,KSIC-31,44
018260,00126186,"SAMSUNG SDS CO., LTD.",62021,KSIC-62,45
064350,00302926,Hyundai-Rotem Co.,31910,KSIC-31,46
032830,00126256,"Samsung Life Insurance co., Ltd",65110,KSIC-65,47
000810,00139214,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",65121,KSIC-65,48
128940,00828497,"Hanmi Pharm. Co., Ltd.",21212,KSIC-21,49
004020,00145880,HYUNDAI STEEL COMPANY,2411,KSIC-24,50
066970,00398701,"L&F CO.,LTD",28202,KSIC-28,51
030200,00190321,KT CORPORATION,612,KSIC-61,52
010130,00102858,KOREA ZINC INC,24213,KSIC-24,53
010060,00148896,OCI Holdings Company Ltd.,64992,KSIC-64,54
272210,00339391,"HANWHA SYSTEMS Co., Ltd.",26299,KSIC-26,55
086280,00360595,"HYUNDAI GLOVIS Co., LTD.",5299,KSIC-52,56
003550,00120021,LG Corp.,64992,KSIC-64,57
139480,00872984,E-MART Inc.,471,KSIC-47,58
011790,00139889,SKC LTD,204,KSIC-20,59
006360,00120030,GS Engineering & Construction Corp,4111,KSIC-41,60
336260,01412725,"Doosan Fuel Cell Co., Ltd.",28111,KSIC-28,61
097950,00635134,CJ CHEILJEDANG CORP.,108,KSIC-10,62
042660,00111704,"Hanwha Ocean Co., Ltd.",3111,KSIC-31,63
032640,00231363,LG Uplus Corp,61220,KSIC-61,64
020150,00113997,LOTTE ENERGY MATERIALS CORPORATION,2629,KSIC-26,65
000100,00145109,YUHAN CORPORATION,212,KSIC-21,66
204320,01042775,"HL Mando CO.,LTD",303,KSIC-30,67
006800,00111722,"MIRAE ASSET SECURITIES CO.,LTD.",66121,KSIC-66,68
271560,01238169,ORION CORP.,108,KSIC-10,69
034230,00171265,"PARADISE.Co.,Ltd.",91249,KSIC-91,70
021240,00170558,"COWAY Co., Ltd.",969,KSIC-96,71
004170,00136378,SHINSEGAE Inc.,47111,KSIC-47,72
192820,01009789,"COSMAX, INC.",20423,KSIC-20,73
000990,00160843,"DB HiTek Co.,LTD",2611,KSIC-26,74
161390,00937324,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",221,KSIC-22,75
267250,01205709,"HD HYUNDAI CO.,LTD.",64992,KSIC-64,76
011780,00106368,"KUMHO PETRO CHEMICAL CO.,LTD",201,KSIC-20,77
